freq,unit,coicop,geo	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,RCH_A_AVG,CP00,AL	: 	: 	: 	: 	3.2 d	1.8 d	1.7 d	2.2 d	2.3 d	6.6 d	5.3 d	2.6 d
A,RCH_A_AVG,CP00,AT	2.1 	1.5 	0.8 	1.0 	2.2 	2.1 	1.5 	1.4 	2.8 	8.6 	7.7 	2.9 
A,RCH_A_AVG,CP00,BE	1.2 	0.5 	0.6 	1.8 	2.2 	2.3 	1.2 	0.4 	3.2 	10.3 	2.3 	4.3 
A,RCH_A_AVG,CP00,BG	0.4 	-1.6 	-1.1 	-1.3 	1.2 	2.6 	2.5 	1.2 	2.8 	13.0 	8.6 	2.6 
A,RCH_A_AVG,CP00,CH	0.1 	0.0 	-0.8 	-0.5 	0.6 	0.9 	0.4 	-0.8 	0.5 	2.7 	2.3 	1.1 
A,RCH_A_AVG,CP00,CY	0.4 	-0.3 	-1.5 	-1.2 	0.7 	0.8 	0.5 	-1.1 	2.3 	8.1 	3.9 	2.3 
A,RCH_A_AVG,CP00,CZ	1.4 	0.4 	0.3 	0.6 	2.4 	2.0 	2.6 	3.3 	3.3 	14.8 	12.0 	2.7 
A,RCH_A_AVG,CP00,DE	1.6 	0.8 	0.7 	0.4 	1.7 	1.9 	1.4 	0.4 	3.2 	8.7 	6.0 	2.5 
A,RCH_A_AVG,CP00,DK	0.5 	0.4 	0.2 	0.0 	1.1 	0.7 	0.7 	0.3 	1.9 	8.5 	3.4 	1.3 
A,RCH_A_AVG,CP00,EA19	1.3 	0.4 	0.2 	0.2 	1.5 	1.8 	1.2 	0.3 	2.6 	8.4 	5.4 	2.4 
A,RCH_A_AVG,CP00,EA20	1.4 	0.4 	0.2 	0.2 	1.5 	1.8 	1.2 	0.3 	2.6 	8.4 	5.4 	2.4 
A,RCH_A_AVG,CP00,EE	3.2 	0.5 	0.1 	0.8 	3.7 	3.4 	2.3 	-0.6 	4.5 	19.4 	9.1 	3.7 
A,RCH_A_AVG,CP00,EL	-0.9 	-1.4 	-1.1 	0.0 	1.1 	0.8 	0.5 	-1.3 	0.6 	9.3 	4.2 	3.0 
A,RCH_A_AVG,CP00,ES	1.5 	-0.2 	-0.6 	-0.3 	2.0 	1.7 	0.8 	-0.3 	3.0 	8.3 	3.4 	2.9 
A,RCH_A_AVG,CP00,EU27_2020	1.3 	0.4 	0.1 	0.2 	1.6 	1.8 	1.4 	0.7 	2.9 	9.2 	6.4 	2.6 
A,RCH_A_AVG,CP00,FI	2.2 	1.2 	-0.2 	0.4 	0.8 	1.2 	1.1 	0.4 	2.1 	7.2 	4.3 	1.0 
A,RCH_A_AVG,CP00,FR	1.0 	0.6 	0.1 	0.3 	1.2 	2.1 	1.3 	0.5 	2.1 	5.9 	5.7 	2.3 
A,RCH_A_AVG,CP00,HR	2.3 	0.2 	-0.3 	-0.6 	1.3 	1.6 	0.8 	0.0 	2.7 	10.7 	8.4 	4.0 
A,RCH_A_AVG,CP00,HU	1.7 	0.0 	0.1 	0.4 	2.4 	2.9 	3.4 	3.4 	5.2 	15.3 	17.0 	3.7 
A,RCH_A_AVG,CP00,IE	0.5 	0.3 	0.0 	-0.2 	0.3 	0.7 	0.9 	-0.5 	2.4 	8.1 	5.2 	1.3 
A,RCH_A_AVG,CP00,IS	4.1 	1.0 	0.3 	0.8 	-1.7 	0.7 	2.0 	1.2 	3.7 	5.7 	8.0 	4.5 
A,RCH_A_AVG,CP00,IT	1.2 	0.2 	0.1 	-0.1 	1.3 	1.2 	0.6 	-0.1 	1.9 	8.7 	5.9 	1.1 
A,RCH_A_AVG,CP00,LT	1.2 	0.2 	-0.7 	0.7 	3.7 	2.5 	2.2 	1.1 	4.6 	18.9 	8.7 	0.9 
A,RCH_A_AVG,CP00,LU	1.7 	0.7 	0.1 	0.0 	2.1 	2.0 	1.6 	0.0 	3.5 	8.2 	2.9 	2.3 
A,RCH_A_AVG,CP00,LV	0.0 	0.7 	0.2 	0.1 	2.9 	2.6 	2.7 	0.1 	3.2 	17.2 	9.1 	1.3 
A,RCH_A_AVG,CP00,ME	: 	: 	: 	-0.1 d	2.7 d	2.6 d	0.5 d	-0.5 d	2.5 d	11.9 d	8.7 d	3.6 d
A,RCH_A_AVG,CP00,MK	2.7 d	0.0 d	0.1 d	0.2 d	2.1 d	2.3 d	0.7 d	1.2 d	3.4 d	14.0 d	9.0 d	4.2 d
A,RCH_A_AVG,CP00,MT	1.0 	0.8 	1.2 	0.9 	1.3 	1.7 	1.5 	0.8 	0.7 	6.1 	5.6 	2.4 
A,RCH_A_AVG,CP00,NL	2.6 	0.3 	0.2 	0.1 	1.3 	1.6 	2.7 	1.1 	2.8 	11.6 	4.1 	3.2 
A,RCH_A_AVG,CP00,NO	2.0 	1.9 	2.0 	3.9 	1.9 	3.0 	2.3 	1.2 	3.9 	6.2 	5.8 	2.8 
