id_entry_nbp,level_0,index,date,value,value2,value3,USD_PLN
0,0,0,1984-02-01,98.15,9815,9815,0.009815
1,1,1,1984-09-01,98.55,9855,9855,0.009855
2,2,2,1984-01-16,99.34,9934,9934,0.009934
3,3,3,1984-01-23,98.6,9860,9860,0.00986
4,4,4,1984-01-30,99.18,9918,9918,0.009918
5,5,5,1984-06-02,99.02,9902,9902,0.009902
6,6,6,1984-02-13,98.52,9852,9852,0.009852
7,7,7,1984-02-20,98.28,9828,9828,0.009828
8,8,8,1984-01-03,110,11000,11000,0.011
9,9,9,1984-05-03,109,10900,10900,0.0109
10,10,10,1984-12-03,108.38,10838,10838,0.010838
11,11,11,1984-03-19,108.36,10836,10836,0.010836
12,12,12,1984-03-26,109.38,10938,10938,0.010938
13,13,13,1984-02-04,108.89,10889,10889,0.010889
14,14,14,1984-09-04,109.34,10934,10934,0.010934
15,15,15,1984-04-16,109.49,10949,10949,0.010949
16,16,16,1984-04-24,109.63,10963,10963,0.010963
17,17,17,1984-02-05,110.24,11024,11024,0.011024
18,18,18,1984-07-05,110.88,11088,11088,0.011088
19,19,19,1984-05-14,111.44,11144,11144,0.011144
20,20,20,1984-05-21,111.18,11118,11118,0.011118
21,21,21,1984-05-28,111.03,11103,11103,0.011103
22,22,22,1984-04-06,110.96,11096,11096,0.011096
23,23,23,1984-11-06,110.06,11006,11006,0.011006
24,24,24,1984-06-18,110.73,11073,11073,0.011073
25,25,25,1984-06-25,111.21,11121,11121,0.011121
26,26,26,1984-02-07,111.57,11157,11157,0.011157
27,27,27,1984-09-07,112.04,11204,11204,0.011204
28,28,28,1984-07-16,112.41,11241,11241,0.011241
29,29,29,1984-07-23,112.54,11254,11254,0.011254
30,30,30,1984-07-30,113.04,11304,11304,0.011304
31,31,31,1984-06-08,113.31,11331,11331,0.011331
32,32,32,1984-08-13,113.33,11333,11333,0.011333
33,33,33,1984-08-20,113.24,11324,11324,0.011324
34,34,34,1984-08-27,113.1,11310,11310,0.01131
35,35,35,1984-01-09,123,12300,12300,0.0123
36,36,36,1984-10-09,123.68,12368,12368,0.012368
37,37,37,1984-09-17,124.8,12480,12480,0.01248
38,38,38,1984-09-24,126.05,12605,12605,0.012605
39,39,39,1984-01-10,125.64,12564,12564,0.012564
40,40,40,1984-08-10,125.4,12540,12540,0.01254
41,41,41,1984-10-15,125.82,12582,12582,0.012582
42,42,42,1984-10-22,126.8,12680,12680,0.01268
43,43,43,1984-10-29,125.8,12580,12580,0.01258
44,44,44,1984-05-11,125.69,12569,12569,0.012569
45,45,45,1984-12-11,123.84,12384,12384,0.012384
46,46,46,1984-11-19,123.76,12376,12376,0.012376
47,47,47,1984-11-26,124.64,12464,12464,0.012464
48,48,48,1984-01-12,125.59,12559,12559,0.012559
49,49,49,1984-10-12,126.22,12622,12622,0.012622
50,50,50,1984-12-17,126.08,12608,12608,0.012608
51,51,51,1984-12-24,126.24,12624,12624,0.012624
52,52,0,1985-01-01,138,13800,13800,0.0138
53,53,1,1985-07-01,138.86,13886,13886,0.013886
54,54,2,1985-01-14,138.48,13848,13848,0.013848
55,55,3,1985-01-21,139.45,13945,13945,0.013945
56,56,4,1985-01-28,139.33,13933,13933,0.013933
57,57,5,1985-04-02,139.05,13905,13905,0.013905
58,58,6,1985-11-02,139.87,13987,13987,0.013987
59,59,7,1985-02-18,140.73,14073,14073,0.014073
60,60,8,1985-02-25,141.17,14117,14117,0.014117
